"Gene","GeneName"
"LOC107964337","PREDICTED: uncharacterized protein LOC107964337"
"LOC107964339","PREDICTED: short transient receptor potential channel 2 homolog"
"LOC726980","PREDICTED: uncharacterized protein LOC726980"
"LOC408820","PREDICTED: DDB1- and CUL4-associated factor 8-like"
"LOC100579018","PREDICTED: venom allergen 3-like"
"LOC107964340","PREDICTED: uncharacterized protein LOC107964340"
"LOC100577976","PREDICTED: GSK3-beta interaction protein"
"LOC100576100","PREDICTED: protein phosphatase 1 regulatory subunit 42-like"
"LOC107964343","PREDICTED: serine/arginine repetitive matrix protein 1-like"
"LOC726378","PREDICTED: protein FAM89B-like"
"LOC413884","PREDICTED: ubiquitin-40S ribosomal protein S27a"
"LOC102655796","PREDICTED: GDP-D-glucose phosphorylase 1"
"LOC413331","PREDICTED: LOW QUALITY PROTEIN: DENN domain-containing protein 4C"
"LOC726826","PREDICTED: peptidyl-prolyl cis-trans isomerase cyp11"
"LOC411531","PREDICTED: motile sperm domain-containing protein 1-like"
"LOC726159","PREDICTED: transportin-3"
"LOC408792","PREDICTED: protein 4.1 homolog"
"LOC411050","PREDICTED: glutamate receptor ionotropic, kainate 2"
"LOC107964349","PREDICTED: leucine-rich repeat protein soc-2 homolog"
"LOC100578773","PREDICTED: zinc finger CCHC domain-containing protein 10-like"
"LOC107964350","PREDICTED: UDP-N-acetylglucosamine transferase subunit ALG14 homolog, partial"
"LOC726080","PREDICTED: uncharacterized protein LOC726080"
"LOC107964351","PREDICTED: 60S ribosomal protein L7"
"LOC725284","PREDICTED: uncharacterized protein LOC725284"
"LOC107964352","PREDICTED: uncharacterized protein LOC107964352"
"LOC550865","PREDICTED: LOW QUALITY PROTEIN: protogenin-like"
"LOC724923","PREDICTED: SAC3 domain-containing protein 1"
"LOC102655177","PREDICTED: uncharacterized protein LOC102655177"
"LOC411589","PREDICTED: structural maintenance of chromosomes protein 1A"
"LOC100578989","PREDICTED: uncharacterized protein LOC100578989"
"LOC726748","PREDICTED: uncharacterized protein LOC726748"
"LOC107964016","PREDICTED: uncharacterized protein LOC107964016"
"LOC725701","PREDICTED: LOW QUALITY PROTEIN: sialin-like"
"LOC413112","PREDICTED: pyruvate kinase-like"
"LOC725341","PREDICTED: beta-1,3-galactosyltransferase 5"
"LOC725044","PREDICTED: TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L"
"LOC107964355","PREDICTED: cell wall integrity and stress response component 4-like"
"LOC413727","PREDICTED: probable ATP-dependent RNA helicase pitchoune"
"LOC107964356","PREDICTED: ATP-dependent RNA helicase DDX18, partial"
"LOC411907","PREDICTED: cytoplasmic polyadenylation element-binding protein 1"
"LOC102653577","PREDICTED: uncharacterized protein LOC102653577"
"LOC409596","PREDICTED: uncharacterized protein LOC409596"
"LOC552664","PREDICTED: probable ATP-dependent RNA helicase DDX28, partial"
"LOC413400","PREDICTED: double-strand break repair protein MRE11, partial"
"LOC100577876","PREDICTED: viral IAP-associated factor homolog"
"LOC100576514","PREDICTED: protein TBRG4"
"LOC727055","PREDICTED: 28S ribosomal protein S31, mitochondrial"
"LOC102653946","PREDICTED: uncharacterized protein LOC102653946"
"LOC100578953","PREDICTED: LOW QUALITY PROTEIN: dual specificity protein phosphatase 15"
"LOC100578919","PREDICTED: uncharacterized protein LOC100578919"
"LOC100576361","PREDICTED: uncharacterized protein C1orf194-like"
"LOC551911","PREDICTED: N6-adenosine-methyltransferase 70 kDa subunit"
"LOC102654091","PREDICTED: meckelin, partial"
"LOC725867","PREDICTED: translin-associated protein X"
"LOC408822","PREDICTED: uncharacterized protein LOC408822"
"LOC411058","PREDICTED: uncharacterized protein LOC411058"
"LOC724431","PREDICTED: dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase"
"LOC409334","PREDICTED: beta-mannosidase"
"LOC725298","PREDICTED: uncharacterized protein LOC725298"
"LOC107963978","PREDICTED: uncharacterized protein PFB0145c-like"
"LOC724349","PREDICTED: homeobox protein 2-like"
"LOC107964398","PREDICTED: ADP,ATP carrier protein ER-ANT1-like"
"LOC107964399","PREDICTED: sodium/calcium exchanger 1-like, partial"
"LOC726309","PREDICTED: chaoptin-like"
"LOC412966","PREDICTED: LOW QUALITY PROTEIN: pre-mRNA-splicing factor ISY1 homolog, partial"
"LOC100577015","PREDICTED: uncharacterized protein LOC100577015"
"LOC100576584","PREDICTED: leucine-rich repeat-containing protein 74B-like"
"LOC725435","PREDICTED: ubiquitin carboxyl-terminal hydrolase 45"
"LOC107964006","PREDICTED: uncharacterized protein LOC107964006"
"LOC100578733","PREDICTED: LOW QUALITY PROTEIN: nose resistant to fluoxetine protein 6"
"LOC107964400","PREDICTED: integrin alpha-4-like, partial"
"LOC107964401","PREDICTED: uncharacterized protein LOC107964401"
"LOC107964402","PREDICTED: uncharacterized protein LOC107964402"
"LOC100576848","PREDICTED: ribosomal biogenesis protein LAS1L"
"LOC413012","PREDICTED: EH domain-containing protein 3"
"LOC726879","PREDICTED: uncharacterized protein LOC726879"
"LOC107964403","PREDICTED: uncharacterized protein LOC107964403"
"LOC411133","PREDICTED: T-box transcription factor TBX20-like"
"LOC552810","PREDICTED: protein FAM161A"
"LOC100578346","PREDICTED: uncharacterized protein LOC100578346"
"LOC409729","PREDICTED: zinc finger protein 608-like"
"LOC726841","PREDICTED: focadhesin"
"LOC552842","PREDICTED: uncharacterized protein C1orf43 homolog"
"LOC100578736","PREDICTED: cyclin-dependent kinase 8-like"
"LOC408821","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC408821"
"LOC107964404","PREDICTED: protein phosphatase 1B-like, partial"
"LOC107964405","PREDICTED: uncharacterized protein LOC107964405"
"LOC100577803","PREDICTED: uncharacterized protein LOC100577803"
"LOC102653590","PREDICTED: protein unc-79 homolog"
"LOC408847","PREDICTED: uroporphyrinogen-III synthase"
"LOC107964409","PREDICTED: uncharacterized protein LOC107964409"
"LOC724258","PREDICTED: uncharacterized protein LOC724258"
"LOC107964412","PREDICTED: N-glycosylase/DNA lyase"
"LOC726828","PREDICTED: SPRY domain-containing SOCS box protein 3-like"
"LOC107964415","PREDICTED: uncharacterized protein LOC107964415"
"LOC107964417","PREDICTED: uncharacterized protein LOC107964417"
"LOC727450","PREDICTED: uncharacterized protein LOC727450"
"LOC725732","PREDICTED: uncharacterized protein LOC725732"
"LOC725833","PREDICTED: uncharacterized protein LOC725833"
"LOC102656326","PREDICTED: stress response protein NST1"
"LOC107964419","PREDICTED: X-linked retinitis pigmentosa GTPase regulator-interacting protein 1-like"
"LOC413548","PREDICTED: intron-binding protein aquarius"
"LOC107964421","PREDICTED: probable G-protein coupled receptor Mth-like 5"
"LOC409882","PREDICTED: TLD domain-containing protein 2"
"LOC100578741","PREDICTED: uncharacterized protein LOC100578741"
"LOC408862","PREDICTED: prolyl 4-hydroxylase subunit alpha-1"
"LOC107964431","PREDICTED: uncharacterized protein LOC107964431"
"LOC726189","PREDICTED: uncharacterized protein LOC726189"
"LOC408852","PREDICTED: uncharacterized protein LOC408852"
"LOC100578382","PREDICTED: interaptin-like"
"LOC552679","PREDICTED: cytochrome P450 4c3"
"LOC107964437","PREDICTED: THAP domain-containing protein 4-like"
"LOC725569","PREDICTED: UDP-xylose and UDP-N-acetylglucosamine transporter"
"LOC551369","PREDICTED: actin, clone 205-like"
"LOC724607","PREDICTED: LOW QUALITY PROTEIN: protein kinase C-like"
"LOC551830","PREDICTED: ral GTPase-activating protein subunit alpha-1"
"LOC100579056","PREDICTED: zinc finger protein 1-like"
"LOC107964441","PREDICTED: uncharacterized protein LOC107964441"
"LOC411088","PREDICTED: probable maleylacetoacetate isomerase 2"
"LOC107964443","PREDICTED: uncharacterized protein LOC107964443"
"LOC411115","PREDICTED: LOW QUALITY PROTEIN: baculoviral IAP repeat-containing protein 6"
"LOC725492","PREDICTED: sorting nexin-2"
"LOC727156","PREDICTED: vesicle transport protein USE1"
"LOC409414","PREDICTED: kinectin"
"LOC100577896","PREDICTED: heat shock factor 2-binding protein-like"
"LOC412468","PREDICTED: LOW QUALITY PROTEIN: protein flightless-1"
"LOC727009","PREDICTED: cytoplasmic tRNA 2-thiolation protein 2"
"LOC409500","PREDICTED: mitochondrial import receptor subunit TOM22 homolog"
"LOC411060","PREDICTED: dnaJ homolog subfamily C member 13"
"LOC411059","PREDICTED: angiogenic factor with G patch and FHA domains 1"
"LOC726683","PREDICTED: myosin-VIIa"
"LOC725343","PREDICTED: alkyldihydroxyacetonephosphate synthase"
"LOC552430","PREDICTED: N-acylneuraminate-9-phosphatase"
"LOC102655149","PREDICTED: uncharacterized protein LOC102655149"
"LOC100578665","PREDICTED: uncharacterized protein LOC100578665"
"LOC552545","PREDICTED: division abnormally delayed protein"
"LOC413711","PREDICTED: kidney mitochondrial carrier protein 1"
"LOC552299","PREDICTED: myosin-IA"
"LOC100578903","PREDICTED: uncharacterized protein LOC100578903"
"LOC406145","PREDICTED: secapin"
"LOC409818","PREDICTED: sodium/calcium exchanger 1"
"LOC409167","PREDICTED: translation elongation factor 2"
"LOC413630","PREDICTED: protein PRRC1-A-like"
"LOC552594","PREDICTED: LOW QUALITY PROTEIN: cactin"
"LOC552787","PREDICTED: DNA topoisomerase 3-beta-1"
"LOC724348","PREDICTED: estradiol 17-beta-dehydrogenase 2"
"LOC726497","PREDICTED: autophagy-related protein 2 homolog B"
"LOC100578718","PREDICTED: protein distal antenna"
"LOC413678","PREDICTED: serine--pyruvate aminotransferase, mitochondrial"
"LOC102654993","PREDICTED: dynein regulatory complex subunit 7"
"LOC107964475","PREDICTED: uncharacterized protein LOC107964475"
"LOC100577410","PREDICTED: uncharacterized protein LOC100577410"
"LOC409359","PREDICTED: cytoskeleton-associated protein 5"
"LOC408865","PREDICTED: uncharacterized protein LOC408865"
"LOC107964478","PREDICTED: uncharacterized protein LOC107964478"
"LOC100578651","PREDICTED: uncharacterized protein LOC100578651"
"LOC102656335","PREDICTED: uncharacterized protein LOC102656335"
"LOC408850","PREDICTED: pre-mRNA-processing factor 39-like"
"LOC413319","PREDICTED: dynein regulatory complex subunit 7-like"
"LOC551619","PREDICTED: transmembrane protein 8B"
"LOC411104","PREDICTED: homeobox protein Nkx-2.4"
"LOC411102","PREDICTED: uncharacterized protein LOC411102"
"LOC107964493","PREDICTED: uncharacterized protein LOC107964493"
"LOC107964494","PREDICTED: uncharacterized protein LOC107964494"
"LOC552523","PREDICTED: uncharacterized protein LOC552523"
"LOC724927","PREDICTED: importin-5"
"LOC725774","PREDICTED: UPF0693 protein C10orf32 homolog"
"LOC413930","PREDICTED: tetratricopeptide repeat protein 30A"
"LOC412858","PREDICTED: hemicentin-2-like"
"LOC100577683","PREDICTED: uncharacterized protein LOC100577683"
"LOC725704","PREDICTED: uncharacterized protein LOC725704"
"LOC107964501","PREDICTED: integrin alpha-9-like"
"LOC107964502","PREDICTED: uncharacterized protein LOC107964502"
"LOC551258","PREDICTED: serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform"
"LOC551219","PREDICTED: LOW QUALITY PROTEIN: DNA polymerase iota"
"LOC552797","PREDICTED: ETS-related transcription factor Elf-5-like"
"LOC409043","PREDICTED: high-affinity choline transporter 1-like"
"LOC107964505","PREDICTED: uncharacterized protein LOC107964505"
"LOC552025","PREDICTED: tyrosine--tRNA ligase, mitochondrial"
"LOC413063","PREDICTED: LOW QUALITY PROTEIN: protein ECT2"
"LOC107964507","PREDICTED: acyl-coenzyme A thioesterase 13, partial"
"LOC412097","PREDICTED: AP-3 complex subunit delta-1"
"LOC100576216","PREDICTED: zinc finger protein 585B-like"
"LOC551956","PREDICTED: proteasome subunit alpha type-5"
"LOC725898","PREDICTED: HSPB1-associated protein 1-like"
"LOC411604","PREDICTED: WD repeat-containing protein 20"
"LOC551897","PREDICTED: Bardet-Biedl syndrome 4 protein homolog"
"LOC412487","PREDICTED: annexin B9-like"
"LOC409153","PREDICTED: LOW QUALITY PROTEIN: zinc finger protein 423-like"
"LOC413129","PREDICTED: sorting nexin-29"
"LOC100576359","PREDICTED: integrator complex subunit 11"
"LOC552413","PREDICTED: scaffold protein salvador-like"
"LOC412445","PREDICTED: flavin reductase (NADPH)"
"LOC726654","PREDICTED: T-box protein H15-like"
"LOC409047","PREDICTED: growth hormone-regulated TBC protein 1-A"
"LOC107964515","PREDICTED: dynein light chain 4, axonemal-like"
"LOC107964516","PREDICTED: uncharacterized protein LOC107964516"
"LOC100578298","PREDICTED: probable serine/threonine-protein kinase DDB_G0283337"
"LOC409678","PREDICTED: LOW QUALITY PROTEIN: ankycorbin"
"LOC724515","PREDICTED: centromere-associated protein E"
"LOC102656199","PREDICTED: uncharacterized protein LOC102656199, partial"
"LOC107964520","PREDICTED: uncharacterized protein LOC107964520"
"LOC725920","PREDICTED: vitellogenin receptor"
"LOC100576291","PREDICTED: uncharacterized protein LOC100576291"
"LOC107964525","PREDICTED: uncharacterized protein LOC107964525"
"LOC100578988","PREDICTED: LOW QUALITY PROTEIN: zinc finger MYND domain-containing protein 10 homolog, partial"
"LOC102656048","PREDICTED: uncharacterized protein LOC102656048"
"LOC726672","PREDICTED: uncharacterized protein LOC726672"
"LOC102656738","PREDICTED: uncharacterized protein LOC102656738"
"LOC412756","PREDICTED: Bloom syndrome protein homolog, partial"
"LOC411482","PREDICTED: ribosome-recycling factor, mitochondrial"
"LOC725017","PREDICTED: uncharacterized protein LOC725017"
"LOC107964526","PREDICTED: uncharacterized protein LOC107964526"
"LOC102654344","PREDICTED: glutamine-rich protein 2-like"
"LOC409448","PREDICTED: collagen alpha-2(IX) chain-like"
"LOC100578454","PREDICTED: uncharacterized protein LOC100578454"
"LOC724309","PREDICTED: uncharacterized protein LOC724309"
"LOC107964527","PREDICTED: uncharacterized protein LOC107964527"
"LOC551566","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC551566"
"LOC100576304","PREDICTED: potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1-like"
"LOC107964528","PREDICTED: uncharacterized protein LOC107964528"
"LOC107964529","PREDICTED: uncharacterized protein LOC107964529"
"LOC410749","PREDICTED: squamous cell carcinoma antigen recognized by T-cells 3"
"LOC100577647","PREDICTED: uncharacterized protein LOC100577647, partial"
"LOC552224","PREDICTED: dynein heavy chain 1, axonemal"
"LOC100577805","PREDICTED: uncharacterized protein LOC100577805"
"LOC107964530","PREDICTED: dynein heavy chain 7, axonemal-like, partial"
"LOC412193","PREDICTED: LOW QUALITY PROTEIN: coiled-coil domain-containing protein 39, partial"
"LOC725814","PREDICTED: uncharacterized protein LOC725814"
"LOC552472","PREDICTED: eukaryotic translation initiation factor 2-alpha kinase 1-like"
"LOC727398","PREDICTED: uncharacterized protein LOC727398"
"LOC107964531","PREDICTED: uncharacterized protein LOC107964531"
"LOC413205","PREDICTED: tropomyosin-2-like"
"LOC100578352","PREDICTED: uncharacterized protein LOC100578352, partial"
"LOC107964534","PREDICTED: uncharacterized protein LOC107964534"
"LOC724172","PREDICTED: neurobeachin"
"LOC551600","PREDICTED: endochitinase"
"LOC724391","PREDICTED: A disintegrin and metalloproteinase with thrombospondin motifs 7"
"LOC725405","PREDICTED: DNA repair endonuclease XPF"
"LOC107964546","PREDICTED: uncharacterized protein LOC107964546"
"LOC102655693","PREDICTED: uncharacterized protein LOC102655693"
"LOC107964558","PREDICTED: uncharacterized protein LOC107964558"
"LOC725770","PREDICTED: phosphatidylinositol 3-kinase catalytic subunit type 3"
"LOC725673","PREDICTED: ribonucleoside-diphosphate reductase large subunit"
"LOC408877","PREDICTED: neurogenic protein mastermind"
"LOC102656653","PREDICTED: uncharacterized protein LOC102656653"
"LOC410005","PREDICTED: beta-1,4-glucuronyltransferase 1"
"LOC411157","PREDICTED: fat-like cadherin-related tumor suppressor homolog"
"LOC409425","PREDICTED: hemocyte protein-glutamine gamma-glutamyltransferase-like"
"LOC107964572","PREDICTED: uncharacterized protein LOC107964572"
"LOC413159","PREDICTED: potassium channel subfamily T member 2"
"LOC725593","PREDICTED: dynein heavy chain 7, axonemal-like"
"LOC107964579","PREDICTED: dynein heavy chain 7, axonemal-like"
"LOC107964580","PREDICTED: dynein heavy chain 12, axonemal-like, partial"
"LOC725436","PREDICTED: LOW QUALITY PROTEIN: dmX-like protein 2"
"LOC724859","PREDICTED: unconventional myosin-IXa"
"LOC102656647","PREDICTED: uncharacterized protein LOC102656647"
"LOC102656629","PREDICTED: uncharacterized protein LOC102656629"
"LOC551222","PREDICTED: syntaxin-12"
"LOC107964586","PREDICTED: uncharacterized protein LOC107964586"
"LOC100576172","PREDICTED: uncharacterized protein LOC100576172"
"LOC107964589","PREDICTED: microtubule-associated protein futsch-like"
"LOC409786","PREDICTED: FH1/FH2 domain-containing protein 3"
"LOC107964590","PREDICTED: uncharacterized protein LOC107964590"
"LOC107964594","PREDICTED: uncharacterized protein LOC107964594"
"LOC107964600","PREDICTED: WASH complex subunit FAM21 homolog"
"LOC409899","PREDICTED: putative sodium-dependent multivitamin transporter"
"LOC107964602","PREDICTED: uncharacterized protein LOC107964602"
"LOC100577928","PREDICTED: LOW QUALITY PROTEIN: SLIT-ROBO Rho GTPase-activating protein 1-like"
"LOC410136","PREDICTED: E3 ubiquitin-protein ligase RNF123-like"
"LOC107964605","PREDICTED: uncharacterized protein LOC107964605"
"LOC102654032","PREDICTED: uncharacterized protein LOC102654032"
"LOC550930","PREDICTED: LOW QUALITY PROTEIN: TGF-beta receptor type-1"
